0.9	0.00663612
0.92	0.00428263
0.94	0.00260657
0.96	0.00141824
0.98	0.000581905
1	0
1.02	-0.000397913
1.04	-0.000662869
1.06	-0.000831965
1.08	-0.000932223
1.1	-0.000983372
1.12	-0.000999824
1.14	-0.00099211
1.16	-0.000967918
1.18	-0.000932848
1.2	-0.000890965
1.22	-0.000845202
1.24	-0.000797656
1.26	-0.000749812
1.28	-0.0007027
1.3	-0.000657017
1.32	-0.000613218
1.34	-0.000571581
1.36	-0.000532253
1.38	-0.000495291
1.4	-0.000460687
1.42	-0.000428388
1.44	-0.00039831
1.46	-0.000370352
1.48	-0.000344401
1.5	-0.000320337
1.52	-0.00029804
1.54	-0.000277391
1.56	-0.000258276
1.58	-0.000240583
1.6	-0.000224208
1.62	-0.000209051
1.64	-0.000195021
1.66	-0.00018203
1.68	-0.000169998
1.7	-0.000158851
1.72	-0.00014852
1.74	-0.00013894
1.76	-0.000130053
1.78	-0.000121805
1.8	-0.000114147
1.82	-0.000107032
1.84	-0.000100419
1.86	-9.42682e-05
1.88	-8.85449e-05
1.9	-8.32162e-05
1.92	-7.82521e-05
1.94	-7.3625e-05
1.96	-6.93098e-05
1.98	-6.52831e-05
2	-6.15234e-05
2.02	-5.80112e-05
2.04	-5.47282e-05
2.06	-5.16578e-05
2.08	-4.87847e-05
2.1	-4.60947e-05
2.12	-4.35747e-05
2.14	-4.12128e-05
2.16	-3.89978e-05
2.18	-3.69195e-05
2.2	-3.49685e-05
2.22	-3.31359e-05
2.24	-3.14138e-05
2.26	-2.97946e-05
2.28	-2.82715e-05
2.3	-2.6838e-05
2.32	-2.54881e-05
2.34	-2.42165e-05
2.36	-2.3018e-05
2.38	-2.18878e-05
2.4	-2.08216e-05
2.42	-1.98153e-05
2.44	-1.88651e-05
2.46	-1.79674e-05
2.48	-1.7119e-05
2.5	-1.63169e-05
2.52	-1.55581e-05
2.54	-1.48401e-05
2.56	-1.41604e-05
2.58	-1.35166e-05
2.6	-1.29066e-05
2.62	-1.23284e-05
2.64	-1.17802e-05
2.66	-1.12601e-05
2.68	-1.07666e-05
2.7	-1.0298e-05
2.72	-9.8531e-06
2.74	-9.43038e-06
2.76	-9.02863e-06
2.78	-8.64668e-06
2.8	-8.28342e-06
2.82	-7.93782e-06
2.84	-7.60889e-06
2.86	-7.29574e-06
2.88	-6.9975e-06
