2	0.99996	-2e-05	2e-06	0.049996	0.049998	
4	0.99988	-3.99992e-05	7.99968e-06	0.049988	0.049996	
6	0.99976	-5.99968e-05	1.79981e-05	0.049976	0.049994	
8	0.9996	-7.9992e-05	3.19936e-05	0.04996	0.049992	
10	0.9994	-9.9984e-05	4.9984e-05	0.04994	0.04999	
12	0.99916	-0.000119972	7.19664e-05	0.049916	0.049988	
14	0.99888	-0.000139955	9.79373e-05	0.0498881	0.049986	
16	0.99856	-0.000159933	0.000127893	0.0498561	0.049984	
18	0.998201	-0.000179904	0.000161827	0.0498202	0.049982	
20	0.997801	-0.000199868	0.000199736	0.0497803	0.0499801	
22	0.997361	-0.000219824	0.000241613	0.0497365	0.0499781	
24	0.996882	-0.000239771	0.000287451	0.0496887	0.0499761	
26	0.996362	-0.000259709	0.000337244	0.0496369	0.0499741	
28	0.995803	-0.000279636	0.000390982	0.0495812	0.0499722	
30	0.995204	-0.000299552	0.000448658	0.0495215	0.0499702	
32	0.994565	-0.000319456	0.000510262	0.049458	0.0499682	
34	0.993886	-0.000339348	0.000575784	0.0493905	0.0499663	
36	0.993168	-0.000359225	0.000645214	0.0493191	0.0499643	
38	0.99241	-0.000379089	0.000718541	0.0492438	0.0499624	
40	0.991612	-0.000398937	0.000795753	0.0491647	0.0499604	
42	0.990774	-0.000418769	0.000876838	0.0490817	0.0499585	
44	0.989897	-0.000438585	0.000961782	0.0489948	0.0499566	
46	0.98898	-0.000458383	0.00105057	0.0489041	0.0499547	
48	0.988024	-0.000478162	0.0011432	0.0488096	0.0499528	
50	0.987028	-0.000497923	0.00123963	0.0487112	0.0499509	
52	0.985993	-0.000517663	0.00133988	0.0486091	0.049949	
54	0.984918	-0.000537383	0.0014439	0.0485032	0.0499471	
56	0.983804	-0.000557081	0.0015517	0.0483935	0.0499452	
58	0.98265	-0.000576757	0.00166325	0.0482801	0.0499433	
60	0.981457	-0.00059641	0.00177853	0.0481629	0.0499415	
62	0.980225	-0.00061604	0.00189752	0.0480421	0.0499396	
64	0.978954	-0.000635644	0.00202022	0.0479176	0.0499378	
66	0.977644	-0.000655223	0.00214659	0.0477894	0.0499359	
68	0.976294	-0.000674776	0.00227661	0.0476575	0.0499341	
70	0.974905	-0.000694302	0.00241028	0.047522	0.0499323	
72	0.973478	-0.0007138	0.00254755	0.047383	0.0499305	
74	0.972011	-0.00073327	0.00268842	0.0472403	0.0499287	
76	0.970506	-0.00075271	0.00283286	0.0470941	0.0499269	
78	0.968962	-0.00077212	0.00298085	0.0469443	0.0499252	
80	0.967379	-0.000791499	0.00313235	0.0467911	0.0499234	
82	0.965757	-0.000810847	0.00328736	0.0466343	0.0499217	
84	0.964097	-0.000830162	0.00344584	0.0464741	0.04992	
86	0.962398	-0.000849444	0.00360777	0.0463105	0.0499182	
88	0.96066	-0.000868692	0.00377313	0.0461434	0.0499165	
90	0.958885	-0.000887905	0.00394188	0.045973	0.0499149	
92	0.95707	-0.000907083	0.00411399	0.0457992	0.0499132	
94	0.955218	-0.000926224	0.00428945	0.0456221	0.0499115	
96	0.953327	-0.000945328	0.00446823	0.0454416	0.0499099	
